客户ID,会员年限,年龄,性别,城市等级,最近消费日期,消费频率,总消费金额,平均单次消费,折扣使用率,满意度评分,客户类型标签
CUST_000895,6.8,22.0,女,一线,2024-12-28,26,16161.9,621.61,0.15,3.0,高价值
CUST_000896,2.2,25.0,女,二线,2024-12-15,14,7006.86,500.49,0.27,5.0,潜力客户
CUST_000897,7.6,23.0,男,二线,2024-12-27,28,10950.91,391.1,0.13,4.0,高价值
CUST_000898,2.3,44.0,男,二线,2024-11-13,5,2244.54,448.91,0.51,4.0,一般客户
CUST_000899,1.4,57.0,女,二线,2024-11-05,7,3854.33,550.62,0.53,4.0,一般客户
CUST_000900,1.1,50.0,女,二线,2024-12-11,4,1689.11,422.28,0.41,5.0,一般客户
CUST_000901,5.5,,男,一线,2024-12-18,26,11611.32,446.59,0.26,5.0,高价值
CUST_000902,2.2,64.0,男,二线,2024-11-11,4,2879.98,719.99,0.34,3.0,一般客户
CUST_000903,2.0,44.0,女,一线,2024-12-08,6,3480.42,580.07,0.54,4.0,一般客户
CUST_000904,3.6,30.0,女,二线,2024-12-14,10,7668.08,766.81,0.25,4.0,潜力客户
CUST_000905,3.5,48.0,男,一线,2024-08-23,1,965.87,965.87,0.68,4.0,流失风险
CUST_000906,0.6,46.0,男,三线,2024-12-11,8,3852.82,481.6,0.39,3.0,一般客户
CUST_000907,3.0,27.0,男,三线,2024-10-16,4,1559.82,389.96,0.75,5.0,流失风险
CUST_000908,2.5,52.0,女,二线,2024-12-30,23,19066.12,828.96,0.1,3.0,高价值
CUST_000909,2.2,27.0,女,一线,2024-10-30,2,1229.59,614.79,0.66,3.0,流失风险
CUST_000910,3.3,,男,一线,2024-12-24,23,5027.18,218.57,0.17,5.0,高价值
CUST_000911,1.5,47.0,男,二线,2024-12-07,9,3620.17,402.24,0.4,4.0,一般客户
CUST_000912,1.0,58.0,男,三线,2024-12-03,10,6417.96,641.8,0.39,3.0,潜力客户
CUST_000913,6.9,37.0,男,二线,2024-12-22,16,18124.09,1132.76,0.3,4.0,高价值
CUST_000914,2.3,55.0,男,其他,2024-11-28,4,3935.96,983.99,0.58,3.0,一般客户
CUST_000915,2.0,36.0,男,二线,2024-11-05,5,1377.41,275.48,0.46,3.0,一般客户
CUST_000916,2.6,56.0,女,三线,2024-12-26,25,18638.49,745.54,0.11,3.0,高价值
CUST_000917,2.2,56.0,女,其他,2024-12-02,7,2079.74,297.11,0.31,5.0,一般客户
CUST_000918,7.2,61.0,男,二线,2024-12-27,18,11192.59,621.81,0.15,4.0,高价值
CUST_000919,0.5,41.0,男,三线,2024-12-05,9,3450.63,383.4,0.5,3.0,一般客户
CUST_000920,3.6,52.0,男,三线,2024-10-19,2,1828.55,914.28,0.47,3.0,流失风险
CUST_000921,2.8,33.0,女,三线,2024-12-20,10,4646.89,464.69,0.37,5.0,潜力客户
CUST_000922,0.7,33.0,女,其他,2024-11-27,4,3353.61,838.4,0.46,4.0,一般客户
CUST_000923,2.5,26.0,男,一线,2024-12-14,14,5397.08,385.51,0.25,3.0,潜力客户
CUST_000924,4.0,39.0,女,其他,2024-12-08,10,6082.3,608.23,0.33,3.0,潜力客户
CUST_000925,2.6,45.0,男,二线,2024-12-21,26,5888.35,226.47,0.14,3.0,高价值
CUST_000926,4.5,27.0,男,一线,2024-08-29,4,1854.65,463.66,0.59,4.0,流失风险
CUST_000927,2.8,48.0,男,一线,2024-12-23,10,4676.69,467.67,0.32,5.0,潜力客户
CUST_000928,2.6,37.0,男,其他,2024-12-25,26,18079.78,695.38,0.19,4.0,高价值
CUST_000929,2.6,,女,三线,2024-12-21,10,4409.65,440.96,0.21,3.0,潜力客户
CUST_000930,5.9,38.0,女,一线,2024-12-26,19,15558.7,818.88,0.29,3.0,高价值
CUST_000931,2.0,63.0,男,二线,2024-11-17,3,3230.63,1076.88,0.42,3.0,一般客户
CUST_000932,1.2,52.0,男,其他,2024-12-14,12,5935.66,494.64,0.37,3.0,潜力客户
CUST_000933,2.9,30.0,男,二线,2024-12-10,7,1268.9,181.27,0.51,3.0,一般客户
CUST_000934,2.0,47.0,男,三线,2024-12-11,14,4834.97,345.35,0.37,5.0,潜力客户
CUST_000935,1.8,56.0,男,一线,2024-11-29,9,1004.75,111.64,0.4,3.0,一般客户
CUST_000936,2.5,53.0,女,二线,2024-08-02,4,1618.84,404.71,0.59,5.0,流失风险
CUST_000937,1.4,32.0,男,二线,2024-12-22,12,4543.16,378.6,0.24,4.0,潜力客户
CUST_000938,2.3,36.0,男,一线,2024-11-02,5,2001.44,400.29,0.5,4.0,一般客户
CUST_000939,3.0,22.0,女,三线,2024-11-03,8,1783.99,223.0,0.39,3.0,一般客户
CUST_000940,2.3,45.0,女,二线,2024-12-04,3,3735.62,1245.21,0.36,5.0,一般客户
CUST_000941,1.4,37.0,女,一线,2024-11-03,3,1929.98,643.33,0.52,3.0,流失风险
CUST_000942,6.3,43.0,女,三线,2024-12-27,27,18617.24,689.53,0.24,5.0,高价值
CUST_000943,7.6,58.0,男,二线,2024-12-18,26,18916.87,727.57,0.24,4.0,高价值
CUST_000944,2.4,48.0,男,二线,2024-12-07,12,3675.19,306.27,0.39,4.0,潜力客户
CUST_000945,5.3,37.0,女,一线,2024-12-30,23,18036.82,784.21,0.22,5.0,高价值
CUST_000946,3.7,32.0,女,三线,2024-12-26,26,18739.15,720.74,0.14,4.0,高价值
CUST_000947,2.4,33.0,男,一线,2024-12-02,12,7616.5,634.71,0.37,4.0,潜力客户
CUST_000948,1.5,46.0,女,一线,2024-12-09,3,2589.69,863.23,0.49,4.0,一般客户
CUST_000949,2.1,55.0,女,二线,2024-10-06,3,764.96,254.99,0.78,4.0,流失风险
CUST_000950,4.2,33.0,男,其他,2024-11-10,4,1270.45,317.61,0.55,5.0,流失风险
CUST_000951,4.0,63.0,女,三线,2024-12-10,12,3835.28,319.61,0.31,5.0,潜力客户
CUST_000952,3.4,63.0,男,二线,2024-12-18,12,6419.22,534.93,0.26,3.0,潜力客户
CUST_000953,1.8,42.0,男,二线,2024-10-07,2,762.06,381.03,0.51,4.0,流失风险
CUST_000954,1.3,38.0,男,其他,2024-12-09,10,4563.41,456.34,0.2,5.0,潜力客户
CUST_000955,2.3,32.0,男,二线,2024-12-14,5,1435.1,287.02,0.48,4.0,一般客户
CUST_000956,2.7,46.0,男,三线,2024-11-21,7,3142.46,448.92,0.35,3.0,一般客户
CUST_000957,2.8,40.0,男,其他,2024-11-27,3,2254.39,751.46,0.6,5.0,一般客户
CUST_000958,7.1,24.0,女,一线,2024-12-17,19,6533.36,343.86,0.22,5.0,高价值
CUST_000959,1.7,59.0,男,二线,2024-12-20,10,5336.21,533.62,0.38,5.0,潜力客户
CUST_000960,2.7,34.0,女,二线,2024-07-29,2,1740.74,870.37,0.51,3.0,流失风险
CUST_000961,3.6,35.0,男,二线,2024-11-16,4,1111.61,277.9,0.71,4.0,流失风险
CUST_000962,4.9,29.0,女,一线,2024-11-07,1,1227.7,1227.7,0.4,3.0,流失风险
CUST_000963,1.1,23.0,男,一线,2024-11-29,8,1190.83,148.85,0.45,4.0,一般客户
CUST_000964,2.8,64.0,男,三线,2024-11-30,6,2196.52,366.09,0.6,3.0,一般客户
CUST_000965,1.1,63.0,女,二线,2024-12-13,8,1260.82,157.6,0.36,3.0,一般客户
CUST_000966,2.0,56.0,男,二线,2024-11-30,4,3888.61,972.15,0.44,4.0,一般客户
CUST_000967,4.5,64.0,女,三线,2024-08-01,1,1858.96,1858.96,0.67,3.0,流失风险
CUST_000968,0.7,49.0,女,二线,2024-11-12,4,3539.68,884.92,0.31,3.0,一般客户
CUST_000969,4.5,45.0,男,二线,2024-10-17,4,1082.8,270.7,0.69,3.0,流失风险
CUST_000970,3.0,64.0,男,二线,2024-12-09,6,2157.58,359.6,0.42,4.0,一般客户
CUST_000971,0.6,57.0,男,一线,2024-12-02,4,3202.22,800.56,0.49,3.0,一般客户
CUST_000972,2.6,24.0,男,二线,2024-11-10,8,3331.89,416.49,0.41,3.0,一般客户
CUST_000973,1.1,64.0,女,三线,2024-11-17,7,3418.04,488.29,0.37,3.0,一般客户
CUST_000974,1.8,33.0,男,三线,2024-12-10,14,4273.6,305.26,0.31,3.0,潜力客户
CUST_000975,4.1,47.0,男,二线,2024-12-17,22,16573.83,753.36,0.26,4.0,高价值
CUST_000976,2.7,37.0,男,一线,2024-12-21,17,7773.89,457.29,0.17,5.0,高价值
CUST_000977,0.8,40.0,男,二线,2024-12-15,6,2520.31,420.05,0.44,3.0,一般客户
CUST_000978,2.4,37.0,男,二线,2024-12-09,6,2244.54,374.09,0.31,5.0,一般客户
CUST_000979,2.8,53.0,男,一线,2024-12-26,8,6546.57,818.32,0.27,4.0,潜力客户
CUST_000980,1.9,27.0,女,二线,2024-12-03,14,7392.65,528.05,0.33,3.0,潜力客户
CUST_000981,2.2,34.0,女,其他,2024-11-09,8,3339.88,417.49,0.39,3.0,一般客户
CUST_000982,2.7,39.0,男,二线,2024-11-13,6,1725.78,287.63,0.31,5.0,一般客户
CUST_000983,1.7,45.0,男,一线,2024-12-07,7,2576.74,368.11,0.34,3.0,一般客户
CUST_000984,5.0,61.0,女,三线,2024-12-19,28,14330.44,511.8,0.26,5.0,高价值
CUST_000985,3.8,34.0,男,一线,2024-09-06,3,1178.07,392.69,0.65,5.0,流失风险
CUST_000986,2.8,35.0,女,二线,2024-12-06,5,3380.31,676.06,0.35,3.0,一般客户
CUST_000987,3.2,36.0,男,一线,2024-12-11,11,6448.51,586.23,0.34,3.0,潜力客户
CUST_000988,1.4,35.0,女,二线,2024-12-03,11,3048.5,277.14,0.26,3.0,潜力客户
CUST_000989,2.6,50.0,女,二线,2024-12-23,11,4817.79,437.98,0.37,5.0,潜力客户
CUST_000990,0.5,38.0,男,三线,2024-11-07,8,3415.04,426.88,0.55,4.0,一般客户
CUST_000991,2.1,64.0,女,二线,2024-11-22,9,3517.58,390.84,0.45,3.0,一般客户
CUST_000992,3.4,59.0,女,三线,2024-12-19,25,10905.79,436.23,0.13,3.0,高价值
CUST_000993,2.8,56.0,男,三线,2024-08-05,1,970.05,970.05,0.56,3.0,流失风险
CUST_000994,2.7,50.0,男,三线,2024-12-22,14,7935.41,566.82,0.26,5.0,潜力客户
CUST_000995,2.4,36.0,男,二线,2024-08-23,1,821.38,821.38,0.71,3.0,流失风险
CUST_000996,1.9,25.0,女,二线,2024-11-26,3,3208.84,1069.61,0.32,3.0,一般客户
CUST_000997,2.3,49.0,男,三线,2024-11-06,6,1986.24,331.04,0.49,5.0,一般客户
CUST_000998,1.4,38.0,男,三线,2024-11-16,6,3089.52,514.92,0.58,4.0,一般客户
CUST_000999,0.9,34.0,女,一线,2024-11-19,9,2544.79,282.75,0.59,3.0,一般客户
CUST_001000,2.7,41.0,男,一线,2024-12-10,8,7260.74,907.59,0.31,5.0,潜力客户
CUST_001001,2.0,27.0,女,一线,2024-09-21,3,578.41,192.8,0.43,4.0,流失风险
CUST_001002,1.9,55.0,女,一线,2024-12-08,11,5424.96,493.18,0.3,5.0,潜力客户
CUST_001003,2.6,37.0,女,三线,2024-11-21,4,2091.7,522.92,0.44,4.0,一般客户
CUST_001004,2.0,24.0,男,二线,2024-11-09,1,1964.11,1964.11,0.58,4.0,流失风险
CUST_001005,1.4,61.0,女,其他,2024-11-09,2,961.59,480.79,0.74,5.0,流失风险
CUST_001006,3.8,49.0,女,一线,2024-12-13,14,5905.23,421.8,0.36,5.0,潜力客户
CUST_001007,3.6,50.0,男,二线,2024-12-15,14,4823.2,344.51,0.25,3.0,潜力客户
CUST_001008,2.8,59.0,男,二线,2024-12-05,9,1135.35,126.15,0.51,5.0,一般客户
CUST_001009,3.9,42.0,男,一线,2024-12-22,8,4995.2,624.4,0.25,3.0,潜力客户
CUST_001010,1.6,44.0,男,三线,2024-11-07,9,1359.47,151.05,0.57,4.0,一般客户
CUST_001011,2.1,22.0,男,二线,2024-12-20,9,3941.84,437.98,0.39,3.0,潜力客户
CUST_001012,0.6,45.0,女,其他,2024-12-05,9,1716.71,190.75,0.49,5.0,一般客户
CUST_001013,3.6,22.0,女,三线,2024-11-15,1,1201.77,1201.77,0.76,4.0,流失风险
CUST_001014,2.4,31.0,女,二线,2024-11-27,3,1733.85,577.95,0.46,4.0,一般客户
CUST_001015,2.8,42.0,女,二线,2024-12-09,11,5669.64,515.42,0.21,3.0,潜力客户
CUST_001016,1.0,41.0,男,一线,2024-12-15,4,3353.52,838.38,0.49,3.0,一般客户
CUST_001017,2.6,39.0,女,二线,2024-11-12,1,1489.24,1489.24,0.76,3.0,流失风险
CUST_001018,1.4,57.0,男,其他,2024-11-05,3,2604.71,868.24,0.34,3.0,一般客户
CUST_001019,3.4,29.0,男,一线,2024-12-26,18,7998.09,444.34,0.26,3.0,高价值
CUST_001020,4.0,62.0,女,三线,2024-12-10,9,5297.42,588.6,0.25,5.0,潜力客户
CUST_001021,7.0,33.0,男,一线,2024-12-27,24,17146.83,714.45,0.12,4.0,高价值
CUST_001022,2.7,24.0,女,三线,2024-12-02,9,1378.17,153.13,0.45,4.0,一般客户
CUST_001023,3.4,56.0,女,三线,2024-07-12,3,1447.07,482.36,0.53,3.0,流失风险
CUST_001024,3.6,40.0,男,二线,2024-12-28,18,12981.77,721.21,0.28,4.0,高价值
CUST_001025,3.3,24.0,女,二线,2024-12-02,9,3492.69,388.08,0.24,3.0,潜力客户
CUST_001026,4.0,56.0,男,一线,2024-12-19,25,15349.47,613.98,0.24,4.0,高价值
CUST_001027,2.6,44.0,男,二线,2024-11-10,7,2603.16,371.88,0.42,5.0,一般客户
CUST_001028,3.3,44.0,女,二线,2024-12-07,13,3845.29,295.79,0.23,3.0,潜力客户
CUST_001029,1.8,35.0,男,三线,2024-12-10,10,4482.2,448.22,0.23,5.0,潜力客户
CUST_001030,3.9,38.0,男,一线,2024-12-13,12,7052.58,587.72,0.33,4.0,潜力客户
CUST_001031,4.4,25.0,女,二线,2024-09-16,1,1902.2,1902.2,0.66,3.0,流失风险
CUST_001032,2.9,27.0,女,其他,2024-11-29,3,2695.22,898.41,0.57,3.0,一般客户
CUST_001033,1.2,47.0,男,其他,2024-12-06,10,4703.28,470.33,0.24,3.0,潜力客户
CUST_001034,2.7,45.0,男,三线,2024-12-22,13,6563.86,504.91,0.38,3.0,潜力客户
CUST_001035,2.7,39.0,男,一线,2024-11-20,6,1628.98,271.5,0.48,5.0,一般客户
CUST_001036,2.4,54.0,男,三线,2024-09-28,2,1856.91,928.45,0.55,3.0,流失风险
CUST_001037,2.4,50.0,女,二线,2024-12-06,13,4553.0,350.23,0.33,3.0,潜力客户
CUST_001038,2.2,32.0,男,其他,2024-12-23,8,4623.31,577.91,0.28,3.0,潜力客户
CUST_001039,3.0,63.0,男,三线,2024-12-21,23,17532.29,762.27,0.27,4.0,高价值
CUST_001040,3.4,53.0,男,三线,2024-12-08,9,5656.65,628.52,0.36,5.0,潜力客户
CUST_001041,5.4,48.0,女,二线,2024-12-19,22,12395.44,563.43,0.23,3.0,高价值
CUST_001042,2.6,29.0,女,三线,2024-12-04,14,4879.69,348.55,0.38,3.0,潜力客户
CUST_001043,2.6,60.0,男,一线,2024-12-17,19,15795.42,831.34,0.23,4.0,高价值
CUST_001044,2.6,52.0,男,二线,2024-11-28,4,1541.07,385.27,0.3,3.0,一般客户
CUST_001045,2.3,63.0,男,其他,2024-11-24,8,1260.59,157.57,0.32,4.0,一般客户
CUST_001046,1.0,55.0,女,二线,2024-08-15,2,1751.19,875.59,0.49,5.0,流失风险
CUST_001047,2.7,39.0,女,二线,2024-09-19,1,1766.31,1766.31,0.73,4.0,流失风险
CUST_001048,3.8,27.0,男,一线,2024-07-28,1,1364.12,1364.12,0.47,3.0,流失风险
CUST_001049,0.8,57.0,女,二线,2024-11-03,3,2687.9,895.97,0.35,4.0,一般客户
CUST_001050,1.9,63.0,女,二线,2024-12-17,8,7125.96,890.75,0.4,4.0,潜力客户
CUST_001051,2.8,44.0,男,三线,2024-12-08,8,3777.37,472.17,0.45,3.0,一般客户
CUST_001052,3.9,30.0,男,三线,2024-12-21,10,7075.9,707.59,0.38,,潜力客户
CUST_001053,1.3,28.0,男,二线,2024-12-18,12,6764.91,563.74,0.22,4.0,潜力客户
CUST_001054,3.5,60.0,男,一线,2024-12-12,12,3846.66,320.55,0.31,4.0,潜力客户
CUST_001055,2.8,59.0,男,一线,2024-11-29,8,2670.53,333.82,0.41,3.0,一般客户
CUST_001056,0.9,38.0,女,一线,2024-11-03,9,3875.64,430.63,0.39,4.0,一般客户
CUST_001057,1.3,60.0,女,二线,2024-11-30,8,2186.47,273.31,0.48,3.0,一般客户
CUST_001058,1.4,50.0,女,二线,2024-11-03,6,1517.17,252.86,0.52,4.0,一般客户
CUST_001059,0.7,28.0,男,二线,2024-12-08,9,1213.97,134.89,0.36,3.0,一般客户
CUST_001060,4.8,22.0,女,三线,2024-12-24,21,5501.57,261.98,0.29,5.0,高价值
CUST_001061,1.8,42.0,女,三线,2024-11-18,3,1320.76,440.25,0.51,4.0,一般客户
CUST_001062,3.7,36.0,男,一线,2024-12-15,9,6104.16,678.24,0.3,3.0,潜力客户
CUST_001063,2.9,56.0,男,二线,2024-12-25,20,15695.25,784.76,0.15,4.0,高价值
CUST_001064,6.8,25.0,男,三线,2024-12-26,27,19156.83,709.51,0.14,4.0,高价值
CUST_001065,2.9,42.0,男,一线,2024-12-29,15,15617.93,1041.2,0.28,,高价值
CUST_001066,2.3,26.0,女,一线,2024-12-24,22,7564.17,343.83,0.23,4.0,高价值
CUST_001067,2.2,48.0,女,其他,2024-12-19,8,5337.72,667.21,0.29,4.0,潜力客户
CUST_001068,2.8,34.0,男,二线,2024-07-19,4,785.69,196.42,0.43,5.0,流失风险
CUST_001069,2.9,23.0,男,三线,2024-11-30,5,3983.58,796.72,0.55,3.0,一般客户
CUST_001070,2.3,45.0,男,三线,2024-12-24,13,3092.62,237.89,0.2,3.0,潜力客户
CUST_001071,2.6,50.0,男,二线,2024-12-15,7,2249.05,321.29,0.6,3.0,一般客户
CUST_001072,2.7,60.0,女,三线,2024-12-17,14,5597.24,399.8,0.39,4.0,潜力客户
CUST_001073,1.4,48.0,女,二线,2024-12-24,8,6001.27,750.16,0.21,4.0,潜力客户
CUST_001074,1.6,23.0,女,一线,2024-11-28,7,2948.6,421.23,0.43,4.0,一般客户
CUST_001075,1.9,34.0,女,二线,2024-12-04,12,3119.88,259.99,0.36,4.0,潜力客户
CUST_001076,1.3,35.0,男,二线,2024-12-26,9,4373.95,485.99,0.33,3.0,潜力客户
CUST_001077,2.5,32.0,女,二线,2024-11-04,3,3427.1,1142.37,0.36,5.0,一般客户
CUST_001078,1.8,59.0,男,一线,2024-11-07,4,1332.36,333.09,0.74,4.0,流失风险
CUST_001079,5.8,50.0,男,三线,2024-12-28,18,6103.72,339.1,0.26,4.0,高价值
CUST_001080,1.4,32.0,女,二线,2024-12-03,8,5876.4,734.55,0.29,,潜力客户
CUST_001081,2.1,29.0,男,二线,2024-11-29,9,2530.18,281.13,0.42,4.0,一般客户
CUST_001082,2.2,28.0,女,三线,2024-10-06,4,1688.69,422.17,0.41,3.0,流失风险
CUST_001083,1.3,30.0,女,其他,2024-08-07,4,871.26,217.81,0.43,3.0,流失风险
CUST_001084,1.9,27.0,女,二线,2024-10-07,3,1826.86,608.95,0.65,4.0,流失风险
CUST_001085,3.7,39.0,男,其他,2024-10-14,1,777.81,777.81,0.61,3.0,流失风险
CUST_001086,2.2,49.0,男,三线,2024-11-30,7,2178.36,311.19,0.58,4.0,一般客户
CUST_001087,6.6,,男,二线,2024-12-30,15,6182.27,412.15,0.22,4.0,高价值
CUST_001088,1.9,45.0,男,三线,2024-11-12,3,703.75,234.58,0.71,4.0,流失风险
CUST_001089,1.1,35.0,男,一线,2024-07-05,2,1390.63,695.31,0.5,,流失风险
CUST_001090,3.0,36.0,女,三线,2024-09-07,4,533.23,133.31,0.51,4.0,流失风险
CUST_001091,2.4,37.0,男,一线,2024-12-08,12,6958.2,579.85,0.31,3.0,潜力客户
CUST_001092,0.6,37.0,男,三线,2024-12-12,4,3749.27,937.32,0.35,5.0,一般客户
CUST_001093,4.2,62.0,男,二线,2024-08-03,1,1520.91,1520.91,0.73,4.0,流失风险
CUST_001094,1.9,59.0,女,二线,2024-11-25,4,1167.21,291.8,0.56,3.0,一般客户
CUST_001095,2.7,47.0,女,一线,2024-12-22,12,4832.47,402.71,0.33,4.0,潜力客户
CUST_001096,1.9,40.0,女,一线,2024-12-14,12,3872.92,322.74,0.3,3.0,潜力客户
CUST_001097,2.3,61.0,女,二线,2024-11-19,4,3335.69,833.92,0.47,5.0,一般客户
CUST_001098,3.1,33.0,男,三线,2024-12-18,24,9184.49,382.69,0.21,5.0,高价值
CUST_001099,2.2,34.0,女,二线,2024-12-01,7,3153.28,450.47,0.55,4.0,一般客户
CUST_001100,2.8,41.0,男,一线,2024-11-15,8,3890.45,486.31,0.49,3.0,一般客户
CUST_001101,2.5,53.0,男,一线,2024-08-31,2,1921.76,960.88,0.76,4.0,流失风险
CUST_001102,2.1,52.0,男,二线,2024-11-20,5,2736.81,547.36,0.51,5.0,一般客户
CUST_001103,4.5,38.0,男,一线,2024-10-18,1,1515.69,1515.69,0.7,,流失风险
CUST_001104,2.8,23.0,女,其他,2024-12-27,29,11411.12,393.49,0.28,4.0,高价值
CUST_001105,2.0,44.0,女,一线,2024-12-17,11,5214.25,474.02,0.34,4.0,潜力客户
CUST_001106,1.7,60.0,男,二线,2024-12-11,4,2649.94,662.48,0.47,3.0,一般客户
CUST_001107,1.6,56.0,男,二线,2024-12-15,9,1181.31,131.26,0.36,4.0,一般客户
CUST_001108,4.6,56.0,男,二线,2024-12-23,18,14976.99,832.06,0.29,3.0,高价值
CUST_001109,2.9,38.0,女,其他,2024-07-19,3,987.7,329.23,0.73,5.0,流失风险
CUST_001110,2.0,35.0,女,其他,2024-12-19,14,4868.2,347.73,0.24,3.0,潜力客户
CUST_001111,4.1,38.0,女,二线,2024-08-26,4,580.95,145.24,0.68,4.0,流失风险
CUST_001112,2.6,47.0,女,其他,2024-12-25,22,8601.9,391.0,0.15,4.0,高价值
CUST_001113,3.7,43.0,男,二线,2024-12-20,29,15535.08,535.69,0.22,5.0,高价值
CUST_001114,2.7,51.0,女,二线,2024-11-14,4,2034.36,508.59,0.39,5.0,一般客户
CUST_001115,4.8,56.0,男,三线,2024-12-17,24,14347.43,597.81,0.12,5.0,高价值
CUST_001116,3.1,55.0,女,二线,2024-07-07,3,1114.77,371.59,0.59,4.0,流失风险
CUST_001117,4.7,41.0,女,二线,2024-12-29,22,15541.87,706.45,0.15,,高价值
CUST_001118,2.3,60.0,男,二线,2024-07-18,2,630.12,315.06,0.45,3.0,流失风险
CUST_001119,3.9,35.0,男,三线,2024-08-29,1,1022.02,1022.02,0.71,3.0,流失风险
CUST_001120,4.2,54.0,男,二线,2024-12-23,21,7421.25,353.39,0.27,4.0,高价值
CUST_001121,2.5,41.0,男,二线,2024-12-09,11,6034.3,548.57,0.28,4.0,潜力客户
CUST_001122,1.1,35.0,男,三线,2024-12-26,13,4314.4,331.88,0.34,4.0,潜力客户
CUST_001123,5.0,43.0,女,一线,2024-10-27,4,515.79,128.95,0.67,5.0,流失风险
CUST_001124,1.6,62.0,男,一线,2024-12-03,8,2937.89,367.24,0.36,4.0,一般客户
CUST_001125,0.7,34.0,男,其他,2024-11-23,6,3035.95,505.99,0.39,3.0,一般客户
CUST_001126,2.6,,女,一线,2024-12-03,6,3664.57,610.76,0.55,3.0,一般客户
CUST_001127,3.4,38.0,男,二线,2024-12-23,26,11255.83,432.92,0.15,5.0,高价值
CUST_001128,1.1,36.0,男,二线,2024-08-26,4,1278.21,319.55,0.67,4.0,流失风险
CUST_001129,1.6,36.0,女,二线,2024-12-08,3,2426.86,808.95,0.56,4.0,一般客户
CUST_001130,1.4,25.0,男,一线,2024-11-08,4,2163.7,540.92,0.49,3.0,一般客户
CUST_001131,1.8,,女,三线,2024-12-04,4,1064.94,266.24,0.5,5.0,一般客户
CUST_001132,1.5,63.0,男,其他,2024-12-08,9,5606.34,622.93,0.26,4.0,潜力客户
CUST_001133,2.9,29.0,女,其他,2024-11-23,7,2888.06,412.58,0.4,5.0,一般客户
CUST_001134,0.7,24.0,男,其他,2024-11-10,6,2625.64,437.61,0.5,5.0,一般客户
CUST_001135,2.0,41.0,男,二线,2024-12-15,3,3016.34,1005.45,0.42,5.0,一般客户
CUST_001136,2.4,22.0,男,二线,2024-12-11,6,2741.86,456.98,0.4,3.0,一般客户
CUST_001137,1.8,31.0,女,其他,2024-11-04,6,3178.55,529.76,0.34,3.0,一般客户
CUST_001138,2.8,51.0,男,其他,2024-11-14,7,3379.02,482.72,0.5,3.0,一般客户
CUST_001139,2.8,58.0,男,二线,2024-12-10,3,3140.37,1046.79,0.33,4.0,一般客户
CUST_001140,1.3,47.0,女,一线,2024-12-17,10,7896.31,789.63,0.38,4.0,潜力客户
CUST_001141,4.0,54.0,男,二线,2024-09-20,3,1183.8,394.6,0.67,3.0,流失风险
CUST_001142,2.7,23.0,女,三线,2024-11-24,5,2972.7,594.54,0.47,4.0,一般客户
CUST_001143,3.4,51.0,女,二线,2024-12-21,14,6692.42,478.03,0.26,4.0,潜力客户
CUST_001144,2.7,42.0,男,二线,2024-08-14,3,1467.98,489.33,0.52,5.0,流失风险
CUST_001145,2.5,35.0,女,一线,2024-12-09,6,1241.01,206.84,0.43,3.0,一般客户
CUST_001146,3.6,34.0,男,三线,2024-12-26,8,5456.75,682.09,0.34,3.0,潜力客户
CUST_001147,2.4,59.0,女,其他,2024-09-28,2,1125.57,562.79,0.74,4.0,流失风险
CUST_001148,4.7,23.0,男,一线,2024-08-11,4,1232.14,308.03,0.61,3.0,流失风险
CUST_001149,3.6,59.0,女,其他,2024-10-23,3,1433.94,477.98,0.71,5.0,流失风险
CUST_001150,2.4,37.0,女,二线,2024-08-31,2,1172.11,586.06,0.54,5.0,流失风险
CUST_001151,1.7,50.0,男,三线,2024-12-02,6,3992.54,665.42,0.35,3.0,一般客户
CUST_001152,2.4,42.0,女,其他,2024-11-07,4,1151.63,287.91,0.41,5.0,流失风险
CUST_001153,4.8,62.0,男,二线,2024-07-23,2,1205.81,602.9,0.74,4.0,流失风险
CUST_001154,2.2,32.0,男,二线,2024-12-21,11,6043.42,549.4,0.33,4.0,潜力客户
CUST_001155,2.9,25.0,女,三线,2024-11-06,9,2688.7,298.74,0.32,4.0,一般客户
CUST_001156,3.6,31.0,男,三线,2024-12-27,25,13044.48,521.78,0.2,5.0,高价值
CUST_001157,3.5,37.0,女,二线,2024-12-16,14,3517.88,251.28,0.23,5.0,潜力客户
CUST_001158,2.4,37.0,女,三线,2024-12-03,10,5503.67,550.37,0.27,3.0,潜力客户
CUST_001159,3.8,43.0,女,其他,2024-12-20,10,6067.64,606.76,0.21,5.0,潜力客户
CUST_001160,1.6,30.0,男,二线,2024-09-04,2,904.27,452.13,0.63,3.0,流失风险
CUST_001161,7.7,,女,二线,2024-12-23,20,15440.52,772.03,0.14,,高价值
CUST_001162,2.7,49.0,男,其他,2024-08-26,2,1570.87,785.44,0.52,4.0,流失风险
CUST_001163,0.7,29.0,女,三线,2024-12-10,7,2244.09,320.58,0.48,3.0,一般客户
CUST_001164,1.4,36.0,男,三线,2024-12-07,8,4177.36,522.17,0.32,4.0,潜力客户
CUST_001165,1.8,30.0,男,二线,2024-12-13,5,1197.79,239.56,0.32,4.0,一般客户
CUST_001166,2.2,54.0,男,三线,2024-11-22,4,1501.4,375.35,0.53,4.0,一般客户
CUST_001167,2.2,32.0,男,三线,2024-11-21,6,2602.57,433.76,0.56,5.0,一般客户
